Video,Video title,Video pub­lish time,Com­ments ad­ded,Shares,Dis­likes,Likes,Sub­scribers lost,Sub­scribers gained,RPM (USD),CPM (USD),Av­er­age per­cent­age viewed (%),Av­er­age view dur­a­tion,Views,Watch time (hours),Sub­scribers,Your es­tim­ated rev­en­ue (USD),Im­pres­sions,Im­pres­sions click-through rate (%)
qfRhKHV8-t4,Predicting Crypto-Currency Price Using RNN lSTM & GRU,"Nov 18, 2017",28,114,18,247,1,111,1.326,10.819,34.06,0:01:45,16558,487.2194,110,21.944,168508,5.65
1Ir1NgCuI0Y,Data Science Resume Round-Up With @Tina Huang  | Episode 3,"Oct 12, 2020",27,17,3,119,6,19,6.2,12.602,11.92,0:04:24,5011,368.2816,13,31.041,117671,1.78
74Z3F7i4qcI,5 Sports Analytics Books to Get You Started,"Dec 13, 2019",27,51,0,273,0,135,3.81,8.863,36.76,0:02:37,7386,322.7721,135,28.125,112818,4.52
DW55gaQ_Egk,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),"Apr 27, 2020",27,52,5,332,5,142,3.082,8.865,30.76,0:03:37,7480,452.4784,137,23.044,161974,2.91
UuR3nomI5AE,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],"Aug 3, 2020",27,17,2,187,5,32,2.454,6.158,22.37,0:03:50,4470,285.8419,27,10.965,111095,2.43
akbU9KOo_Qc,How to Stay Productive & Motivated When Learning Data Science,"Sep 29, 2019",27,64,1,501,3,132,4.318,14.981,36.25,0:04:03,9669,654.2339,129,41.711,102363,3.88
KHAuuOQui2U,What You Need to Know for a Data Science Internship,"May 1, 2020",26,111,3,798,7,284,4.648,10.56,54.02,0:02:46,12317,571.0671,277,57.149,194197,4.55
dlZWB2D-NaQ,The 4 Types of Sports Analytics Projects,"Feb 3, 2020",26,134,4,637,10,526,5.546,12.031,40.96,0:02:53,17982,868.6597,516,99.587,231123,5.06
iiSZqsQKNX8,#66DaysOfData - What is it? #shorts,"Jun 11, 2021",26,30,4,297,2,43,2.968,10.321,68.1,0:00:32,6101,54.2392,41,12.009,97878,2.7
n6MiRgxN5iA,Why EVERYONE Should Start a Podcast (Including YOU),"Nov 5, 2021",25,34,1,189,11,15,4.247,9.533,36.81,0:02:37,3092,134.9815,4,13.118,116219,1.28
omdhf8d53FM,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,"Sep 16, 2020",25,48,3,202,5,25,2.562,5.981,12.09,0:03:11,4885,259.9246,20,12.511,96627,2.49
B1g_yMKpdwo,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),"Jun 29, 2020",24,26,2,176,6,31,2.827,7.571,26.48,0:03:42,4227,261.5042,25,11.945,101151,2.39
SaWxVk7rDp4,What is a lambda function (python)? #shorts,"May 13, 2021",24,22,16,540,5,72,2.097,9.237,66.56,0:00:37,8275,85.6748,67,6.943,155550,2.15
_K6cNdgN3CI,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),"May 18, 2020",24,339,41,174,7,195,6.881,10.711,10.32,0:01:31,10762,273.8722,188,74.043,750450,1.14
f6NPw582FFc,Data Science Explained with ... Cooking?,"Feb 7, 2020",24,47,1,258,6,52,4.674,12.583,40.54,0:03:36,3947,236.9106,46,18.412,100002,2.07
7VcdvSyoxnc,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,"Sep 23, 2020",23,39,3,183,6,20,10.387,15.257,10.56,0:06:31,4566,496.2556,14,47.428,122641,1.67
mR2NCRgtLPE,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),"Jun 1, 2020",23,74,20,168,10,63,3.635,9.258,18.69,0:02:56,5504,269.5049,53,20.002,157262,2.38
oMdVg6GPODA,Why Right NOW is a Great Time to Learn Data Science,"Mar 23, 2020",23,28,1,260,2,40,3.956,10.126,56.53,0:01:48,4027,121.402,38,15.919,91868,3.01
2KkrtG5IsHo,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),"Jul 13, 2020",22,11,1,131,11,27,4.334,9.369,31.86,0:02:58,3352,165.8514,16,14.529,97864,2.12
ammCGdzSoag,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,"Oct 29, 2021",22,49,2,191,9,45,5.525,10.555,7.6,0:03:45,5883,368.4759,36,32.398,137560,2.38
irjTWNV0eAY,How to Simulate NBA Games in Python,"Nov 19, 2018",22,105,2,308,2,152,3.363,11.128,29.67,0:02:44,13742,629.6323,150,46.214,149844,5.45
rLawTH--l2Y,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),"Sep 7, 2020",22,12,0,164,4,16,3.715,8.704,28.76,0:04:23,3615,264.8199,12,13.426,104392,2.03
yIJrCFXs0rU,Data Science Fundamentals: Data Manipulation in Python (Pandas),"Jul 13, 2019",22,49,3,246,1,63,6.676,15.337,15.42,0:06:39,8633,957.2203,62,57.53,103578,4.41
EAezvs0eL1s,Data Science Fundamentals: Linear Regression,"Nov 29, 2019",20,28,0,140,2,46,4.652,16.891,12.62,0:04:52,4844,393.3973,44,22.508,80902,2.89
KEBVcVwFzaI,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),"Aug 10, 2020",20,39,2,270,5,94,4.752,9.591,25.1,0:04:02,7705,520.0262,89,36.566,153306,3.4
imMPnCHvbkY,The Data Science Projects that Got Me a Job,"Mar 6, 2020",20,149,11,1201,3,718,3.928,9.461,44.97,0:02:00,33396,1113.7748,715,131.089,437098,5.19
6fwyyRgZlD0,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),"Jun 22, 2020",19,6,1,83,7,12,2.755,7.205,25.16,0:02:48,2242,104.6831,5,6.176,81797,1.71
QBIe4nbmZfA,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),"May 4, 2020",19,30,6,175,0,59,4.614,12.228,30.05,0:03:31,4581,268.8326,59,21.129,139883,1.97
tG_UW_p0UqE,Is Spotify Shuffle Really Random? #Shorts,"Jul 21, 2021",19,55,2,385,5,25,1.698,6.764,74.35,0:00:41,6579,76.0888,20,5.974,141902,1.87
9D7GzskcyUk,5 Tips for Crushing the Work From Home Life,"Apr 20, 2020",18,32,14,200,2,50,9.477,17.417,34.98,0:01:59,4934,164.449,48,46.759,580788,0.51
apf6A3Nstm8,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),"Sep 14, 2020",18,17,1,157,4,32,5.985,11.522,25.5,0:04:56,3673,302.0791,28,21.971,122141,1.72
RAMxzqSMDKE,Reviewing Your Projects - Episode 16 (Project Review for Beginners),"Aug 17, 2020",17,14,2,132,6,20,2.411,6.336,25.19,0:04:11,2998,209.5669,14,7.227,88844,1.91
VvnOXDCVm8k,Project Presentation - Expectations vs. Reality (funny) #shorts,"Aug 7, 2021",17,16,5,230,8,6,2.059,8.054,76.6,0:00:45,5932,74.4665,-2,6.17,133476,1.69
68GGPK3WaqI,Data Science Project - Expectations vs Reality (funny) #shorts,"Aug 6, 2021",16,20,10,484,2,38,3.19,10.591,71.96,0:00:43,14136,169.539,36,12.271,166268,3.82
sICJ6a2wX5g,#66DaysOfData - 3 Reasons to Start!,"Jun 18, 2021",16,8,5,184,2,6,1.699,7.284,56.83,0:00:30,3443,28.8076,4,2.917,63656,1.9
5SjK6YCs4o4,The Data Science Interview: What to Expect,"Dec 30, 2019",15,22,1,321,1,59,4.946,15.38,38.45,0:05:40,6185,585.3392,58,30.575,134202,2.71
WKXtTo7lqmA,Data Science Fundamentals: SQL Queries,"Jan 10, 2020",15,42,0,168,1,57,3.455,13.185,12.16,0:04:11,4774,333.1141,56,16.489,76962,2.96
9ZwVqXUHf6o,When Data Science Goes Wrong,"Mar 30, 2020",14,11,1,104,1,20,3.615,10.047,47.49,0:02:49,1668,78.3392,19,6.03,71963,1.56
ELFGsNqZrlM,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),"Jul 22, 2020",14,8,2,96,5,15,3.522,7.881,20.5,0:04:02,1795,120.7192,10,6.322,83137,1.03
LGEuDWjWQes,Applying Data Science To My YouTube Data: My Surprising Findings,"Nov 11, 2019",14,11,3,131,4,116,3.464,12.738,13.73,0:01:54,5642,179.2321,112,19.53,75996,1.67
ZWdyBbgGZBQ,Sports Analytics 101: The Pythagorean Theorem of Sports,"Nov 22, 2019",14,56,2,214,2,89,5.362,12.367,48.63,0:03:02,4343,220.6,87,23.254,71531,3.58
Zz_Mx1UPswI,Thank You For The Support | What's Next | Ken Jee | Data Science,"Aug 26, 2019",14,4,0,24,0,7,0.542,12.098,39.37,0:00:44,506,6.3089,7,0.274,25885,0.54
ei1m5lDQyBg,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,"Apr 22, 2020",14,20,2,80,1,29,7.568,12.858,15.98,0:06:05,2794,283.7009,28,21.144,330495,0.54
q8cEt8gj3zY,"Data Science, Machine Learning, and AI: What's the Difference?","Mar 16, 2019",14,42,2,131,3,60,5.641,13.808,55.4,0:02:27,4722,193.2964,57,26.586,71980,4.32
143WWA5Sy9k,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),"Jul 16, 2021",13,8,6,93,33,12,2.611,6.522,5.23,0:04:21,2271,165.2476,-21,5.929,154655,0.8
3BEtGaz70rQ,How Far Should the NBA 3-Point Line Actually Be?,"Sep 21, 2019",13,9,0,86,2,19,2.365,8.08,34.67,0:03:20,2312,128.4624,17,5.466,92928,1.64
3TrAYmrmA8o,The 9 Books That Changed My Perspective in 2019,"Jan 3, 2020",13,12,0,173,2,23,1.806,8.793,23.69,0:03:52,3037,195.876,21,5.485,60048,3.25
DopikusDfk0,Collision Course: Sports Betting + Data Science,"Dec 20, 2019",13,41,8,342,2,225,5.403,12.188,42.08,0:02:29,10291,427.0386,223,55.502,124918,5.9
qP0hRF-lGqg,The Problem with Data Science,"Feb 28, 2020",13,11,2,137,0,41,5.156,11.63,52.28,0:02:21,3301,129.4233,41,17.01,69013,3.52
2RWwN5ZT4tA,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,"Jan 14, 2022",12,2,3,78,1,1,1.882,11.16,70.68,0:00:38,2401,25.9375,0,1.72,25094,2.64
T7BQJJIGrmc,Data Science: Pros and Cons,"Jun 30, 2019",12,4,1,177,1,44,4.412,11.644,45.21,0:03:19,3919,217.5296,43,17.27,67929,4.07
 -kX2b6TF_9k,By The Numbers: Where Should The NBA Put a 4 Point Line?,"Oct 21, 2019",11,5,2,66,1,11,1.852,8.087,23.34,0:02:33,2344,99.7075,10,4.342,77802,2.09
IFceyuL6GZY,How I Became A Data Scientist From a Business Background,"Nov 12, 2018",11,33,4,168,0,81,4.419,14.006,38.33,0:03:57,5515,363.4858,81,24.358,58816,5.72
scSc6YSanQ0,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,"Dec 10, 2021",10,20,5,212,0,2,1.947,10.912,75.62,0:00:43,3130,37.4755,2,2.484,59027,1.61
sq5TnVJWv6A,Where YOU Should Start With Data Science Projects,"Feb 19, 2019",10,30,1,217,0,62,3.419,13.161,23.1,0:01:47,8026,240.4886,62,27.329,96996,3.2
1Cf7SdnBncg,My Top 5 Data Science Internship Tips,"Jun 15, 2019",9,38,2,387,1,166,4.958,12.892,44.37,0:03:33,8420,500.1532,165,41.664,137556,4.53
3bes4U4MHPg,How to Integrate Data Science into Your Business,"Mar 2, 2020",9,13,1,82,3,30,5.618,14.95,49.99,0:02:29,1831,76.2714,27,10.258,49545,2.54
Fs_LG5Y8GIU,Can You Learn Data Science Without a Computer?,"Mar 11, 2020",9,7,0,86,0,15,3.408,8.601,50.63,0:01:40,1102,30.8441,15,3.756,50697,1.43
_CS4u9cORwA,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,"Mar 9, 2019",9,39,2,162,2,65,2.721,11.541,37.81,0:02:50,3673,173.9694,63,9.996,71161,2.63
BXmEmIK5aqI,The 5 Stages of Data Science Adoption,"Dec 6, 2019",8,16,0,54,0,14,6.916,19.093,43.44,0:02:34,973,41.8022,14,6.722,28238,1.04
aaAZXeuPIXk,How Much Did Cheating Help the Astros Win? (What the Numbers Say),"Feb 24, 2020",8,12,0,42,2,9,3.035,9.215,44.83,0:02:51,959,45.6196,7,2.911,70110,0.87
6sJEnzDjJqI,Where to Look for Data Science Jobs,"Mar 29, 2019",7,10,1,99,0,19,3.993,13.219,41.43,0:02:31,2583,108.8033,19,10.305,51139,3.51
9-2OKLZfvbE,Questions You Should Ask Your Data Science Interviewers,"Jan 6, 2020",7,14,0,118,0,19,5.635,18.409,45.26,0:04:58,2134,177.0787,19,12.02,62062,2.21
KMOA5arCi8g,What I Learned From My Three Degrees,"May 17, 2019",7,1,1,56,0,13,3.439,13.371,39.58,0:05:01,1079,90.3894,13,3.707,35455,1.93
RRXWJVX0fE8,6 Habits of Successful Data Scientists,"Sep 13, 2019",7,11,0,79,3,29,2.048,10,40.08,0:02:19,1591,61.8222,26,3.255,35694,2.43
XTrlMQXYqts,Why You DON'T Want to be a WFH Data Scientist,"Mar 3, 2019",7,1,0,28,2,6,3.578,14.551,48.31,0:02:02,664,22.6338,4,2.376,30810,1.41
Y_SMU701qlA,Predicting Season Long NBA Wins Using Multiple Linear Regression,"Jul 10, 2018",7,45,2,159,1,34,2.883,10.667,26.93,0:02:25,6863,276.7257,33,19.772,53865,4.03
a-Syoa9mPhM,Take Your Data Science Projects From Good to Great,"Aug 5, 2019",7,5,0,100,1,14,3.125,13.669,38.74,0:03:07,1414,73.6503,13,4.415,57756,1.44
fjVVtvp5X0w,Why Selling Is An Important Data Science Skill,"Nov 4, 2019",7,7,1,70,4,13,4.009,15.217,33.77,0:03:44,1418,88.5893,9,5.685,49396,1.8
iqG59TqfFdY,5 Data Science Resolutions for 2020,"Dec 27, 2019",7,3,0,24,2,5,2.404,22.678,43.75,0:02:12,455,16.6975,3,1.094,34674,0.87
sCOX5yShmFA,The Best Way to Predict NBA Minutes Played,"Dec 11, 2018",7,23,0,85,0,44,4.178,15.083,33.66,0:03:14,3094,167.5168,44,12.899,56877,2.8
tv1e22u2COk,My Top 5 Data Science Resources for 2019,"Jan 5, 2019",7,11,1,112,1,40,3.645,13.721,32.98,0:01:55,3406,109.5298,39,12.416,50442,4.68
3cDM9Z-fdz4,Golf STATS: Strokes Gained Explained,"Jun 7, 2019",6,15,2,108,0,43,7.534,12.833,53.81,0:05:09,4151,356.7836,43,31.192,55090,5.14
3ysXGYjvbSU,Why is Balance Important in Data Science?,"Oct 16, 2019",6,2,0,31,3,4,3.275,14.95,52.42,0:02:04,612,21.2073,1,2.004,32650,1.17
XoUyK3XHZHs,Watch This Before Applying to Data Science Jobs,"Feb 4, 2019",6,5,1,53,0,15,4.408,16.199,38.38,0:03:50,1261,80.6655,15,5.558,33418,1.99
foggudmDDvY,Data Science in Golf: PGA Merchandise Show 2020,"Jan 31, 2020",6,5,0,18,0,2,3.529,12.105,38.65,0:03:31,482,28.3566,2,1.701,41477,0.69
k4r_NtB4JVQ,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,"Nov 25, 2019",5,8,2,42,2,17,2.445,12.182,34.52,0:02:39,816,36.1463,15,1.995,54472,0.53
1UjMBw_7Gi8,Data Science: Startup vs. Large Corporation,"Mar 21, 2019",4,3,5,66,0,19,4.906,14.61,47.65,0:02:13,1703,63.1138,19,8.345,44105,2.58
k-gin1qfzi0,How To Build A Word Cloud From Scraped Data (Python),"Sep 4, 2019",4,32,2,63,0,24,2.358,11.647,11.74,0:02:35,2794,120.371,24,6.582,70051,2.47
qUK5Vk4NvBw,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),"Oct 12, 2021",4,16,0,133,12,22,3.078,6.219,7.83,0:04:52,2038,165.5004,10,6.269,138024,0.64
smeFkHwnM_k,Welcome To My Channel | Ken Jee | Data Science,"Mar 3, 2019",4,5,0,30,0,47,4.992,37.786,55.43,0:00:28,1225,9.6188,47,6.115,27960,1.01
FBgs-BSTIJE,Demystifying Data Science Roles,"Nov 30, 2018",3,5,1,48,1,8,5.218,16.232,55.55,0:03:28,978,56.593,7,5.103,26202,2.24
Yr5T3T4tq-g,Most Data Science Hopefuls Overlook This Important Skill,"May 25, 2019",3,0,0,44,0,5,3.374,15.596,58.62,0:02:06,548,19.2752,5,1.849,21780,1.61
j-Z-je6K4Yg,IT'S NOT TOO LATE TO LEARN CODE!,"Dec 18, 2018",3,1,0,35,0,7,3.784,12.59,60.52,0:01:52,721,22.545,7,2.728,18635,2.65
5jntoZX-Tc8,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,"May 5, 2019",2,5,0,38,0,3,2.651,12.206,16.93,0:03:09,1094,57.6363,3,2.9,34642,1.99
5p73cIRYCZg,ProjectDemoCSC478_UFCFightData,"Jun 6, 2017",0,2,0,1,0,0,0.05,,8.79,0:01:04,60,1.0684,0,0.003,365,11.51
